step	accuracy
0	0.531624972820282
1	0.6178749799728394
2	0.6506249904632568
3	0.675000011920929
4	0.6800000071525574
5	0.6881250143051147
6	0.7086250185966492
7	0.703249990940094
8	0.7016249895095825
9	0.7127500176429749
