step	loss
0	0.7076928019523621
1	0.6498310565948486
2	0.6261821389198303
3	0.5991322994232178
4	0.5971013903617859
5	0.5905625820159912
6	0.5712845921516418
7	0.5631759762763977
8	0.564363420009613
9	0.55405592918396
